host_listings_count,accommodates,bathrooms,bedrooms,guests_included,minimum_nights,number_of_reviews,calculated_host_listings_count,price,latitude,longitude,room_type,instant_bookable
1.0,2,1.0,1.0,2,1,43,1,$45.00,52.3152481939,4.976901011,Private room,f
1.0,1,1.0,1.0,1,7,27,1,$30.00,52.3207538086,4.9757411869,Private room,f
6.0,8,1.0,3.0,6,2,3,6,$150.00,52.3207915287,4.9867752798,Entire home/apt,f
1.0,6,1.5,2.0,1,2,0,1,$205.00,52.3222560252,4.9724998792,Entire home/apt,f
3.0,1,1.0,1.0,1,1,0,3,$65.00,52.3228368117,4.9776164943,Shared room,f
1.0,2,1.5,1.0,2,1,5,1,$50.00,52.3173406513,4.9683346986,Private room,f
1.0,4,1.0,2.0,1,1,11,1,$74.00,52.3194312741,4.9782613614,Entire home/apt,f
1.0,4,1.0,2.0,2,3,4,1,$100.00,52.3153525251,4.981119584,Entire home/apt,f
1.0,6,1.5,1.0,2,1,13,1,$35.00,52.3177375535,4.9799452109,Private room,f
1.0,2,1.0,1.0,1,1,0,1,$30.00,52.3243105317,4.9697444041,Private room,f
1.0,2,1.5,1.0,1,3,0,1,$90.00,52.321437761,4.9641223882,Entire home/apt,f
1.0,2,1.5,1.0,1,1,6,1,$60.00,52.325817899,4.9808474803,Private room,f
1.0,1,1.0,1.0,1,14,0,1,$35.00,52.3224644839,4.9717805734,Private room,f
6.0,4,1.0,1.0,3,2,7,6,$75.00,52.3213341781,4.9881883852,Private room,f
1.0,3,1.0,1.0,2,360,14,1,$65.00,52.3182806413,4.9785129794,Entire home/apt,f
2.0,2,1.0,1.0,2,1,68,2,$50.00,52.3189246404,4.9789562581,Entire home/apt,t
1.0,2,1.0,1.0,2,1,10,1,$50.00,52.3226100508,4.9642859367,Private room,f
1.0,2,1.0,1.0,1,1,7,1,$75.00,52.3195658789,4.9776105036,Entire home/apt,t
2.0,2,1.0,1.0,1,4,6,2,$43.00,52.3173057047,4.9877570135,Private room,f
1.0,2,1.0,1.0,1,3,16,1,$60.00,52.3249472428,4.9705205697,Entire home/apt,f
6.0,3,1.0,1.0,1,2,1,6,$50.00,52.321267153,4.9883488026,Private room,f
1.0,2,1.0,1.0,2,2,1,1,$99.00,52.3229695243,4.9823480762,Entire home/apt,t
6.0,3,1.0,1.0,1,2,5,6,$40.00,52.3209376779,4.9877336613,Private room,f
1.0,5,0.5,2.0,4,2,81,1,$109.00,52.321618555,4.9782714053,Entire home/apt,f
1.0,4,1.0,2.0,1,3,18,1,$129.00,52.3231842364,4.9742498025,Entire home/apt,f
2.0,2,1.0,1.0,1,10,16,2,$33.00,52.3272703649,4.9673519951,Private room,f
1.0,5,1.5,3.0,4,2,30,1,$150.00,52.3269814433,4.9829489103,Entire home/apt,f
9.0,3,1.0,1.0,2,1,22,5,$59.00,52.3181874831,4.9779779459,Private room,t
1.0,2,1.0,1.0,1,2,13,1,$60.00,52.3185250826,4.9689105621,Entire home/apt,f
1.0,6,1.0,1.0,1,1,1,1,$250.00,52.3231902801,4.9722984058,Entire home/apt,f
2.0,2,1.0,1.0,2,4,29,2,$44.00,52.3167107239,4.9866176374,Private room,f
1.0,1,1.0,1.0,2,2,0,1,$100.00,52.3270960769,4.9791366702,Private room,t
1.0,2,1.0,1.0,1,1,0,1,$75.00,52.3255502194,4.9630223437000005,Private room,t
1.0,4,1.0,2.0,1,5,0,1,$120.00,52.3248417967,4.9824801592,Entire home/apt,f
1.0,4,1.5,2.0,2,2,13,1,$135.00,52.3180915727,4.9661912661,Entire home/apt,t
1.0,4,1.0,1.0,2,1,30,1,$65.00,52.3202214964,4.9830936845,Entire home/apt,f
2.0,2,1.0,1.0,1,1,1,2,$50.00,52.3121238634,4.9780356521,Private room,t
1.0,4,1.0,2.0,1,1,1,1,$110.00,52.3144349034,4.9823508652,Entire home/apt,f
3.0,3,1.5,1.0,1,1,0,3,$50.00,52.3204344766,4.964132668,Private room,t
2.0,4,1.0,3.0,4,1,30,2,$150.00,52.3189448019,4.9809286891,Entire home/apt,t
2.0,4,1.0,3.0,4,1,28,2,$150.00,52.3194839481,4.9799780796,Entire home/apt,t
1.0,5,1.0,2.0,1,2,35,1,$75.00,52.3841871754,4.9624564766,Entire home/apt,f
1.0,6,2.0,3.0,4,5,11,1,$190.00,52.4143044984,5.0276889544,Entire home/apt,f
1.0,6,1.0,4.0,1,1,10,1,$195.00,52.3967888302,4.9586705985,Entire home/apt,f
1.0,2,1.0,1.0,2,1,9,1,$65.00,52.399325166,4.9513623182,Private room,t
1.0,4,1.0,2.0,1,2,0,1,$175.00,52.396211252,4.9454476561,Entire home/apt,f
1.0,4,1.0,3.0,1,5,3,1,$150.00,52.3947705236,4.9317125982,Entire home/apt,f
1.0,6,2.0,4.0,1,1,0,1,$255.00,52.3872719629,4.9566280026000005,Entire home/apt,f
15.0,4,1.0,1.0,2,2,61,13,$74.00,52.3958057726,4.9924386409,Private room,f
1.0,3,1.0,1.0,1,90,4,1,$145.00,52.401506616,4.9373486728,Entire home/apt,f
3.0,2,1.0,0.0,1,7,1,2,$85.00,52.4107718892,4.9611698052,Private room,f
1.0,2,1.0,2.0,2,1,156,1,$89.00,52.3973577143,5.0044514131,Entire home/apt,f
1.0,4,1.0,3.0,1,4,2,1,$200.00,52.4077481776,4.9331440058,Entire home/apt,f
1.0,2,1.5,1.0,1,1,1,1,$70.00,52.3953703812,4.949078702,Private room,t
1.0,2,1.0,1.0,1,2,20,1,$75.00,52.3980357313,4.9432705543,Entire home/apt,f
15.0,4,1.0,1.0,2,2,41,13,$72.00,52.4112137299,4.947321392,Private room,f
1.0,5,1.0,4.0,1,5,3,1,$75.00,52.4075768027,4.9647020826,Entire home/apt,f
1.0,4,1.0,2.0,2,3,43,1,$90.00,52.4107926471,4.9612135643,Private room,f
1.0,4,1.0,3.0,1,5,2,1,$144.00,52.3944840366,4.9303435,Entire home/apt,f
1.0,5,1.0,4.0,1,5,0,1,$220.00,52.3759016582,4.9761766687,Entire home/apt,f
1.0,4,1.0,2.0,1,5,3,1,$85.00,52.39391933,4.9553157803,Entire home/apt,t
1.0,4,2.0,1.0,4,1,3,1,$149.00,52.3899018754,4.9570056837,Private room,f
15.0,2,1.0,1.0,2,2,28,13,$72.00,52.4132444461,4.9461528596,Private room,f
1.0,6,1.0,3.0,4,2,2,1,$175.00,52.3967850728,4.9243554984,Entire home/apt,t
1.0,4,2.0,2.0,1,4,3,1,$150.00,52.3860691568,4.9576965216,Entire home/apt,f
1.0,7,1.5,4.0,2,2,21,1,$120.00,52.406973474,4.9323818919,Entire home/apt,f
1.0,2,1.0,1.0,4,1,17,1,$66.00,52.3918230674,4.9517079791,Private room,f
2.0,2,1.5,1.0,2,3,2,2,$69.00,52.4049354233,4.9284417048,Private room,f
1.0,4,1.0,4.0,1,2,2,1,$152.00,52.4069256662,4.9320439143,Entire home/apt,f
1.0,3,1.0,2.0,2,2,5,1,$75.00,52.3933497974,4.994649343,Entire home/apt,t
